Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution
1,"What is the place value of 5 in 3254710? (CLAT, 2010) (OBJECTIVE TYPE QUESTIONS)",None,10000,50000,54710,c,"w
1
w ww w
1– 2 1
1
2
.
A, B, C are all odd and none of the digits is 3 ⇒ A, B, C
are the digits from 5, 7, 9.
Since A is the largest digit, so A = 9.
\ B = 5 or 7 and C = 5 or 7.
Now, the number DE is the product of two prime numbers.
E = 1 and D = 2, 4, 6 or 8.
41 and 61 are prime numbers and 81 cannot be expressed
as product of two primes.
Only 21 can be expressed as the product of two prime
numbers (21 = 3 × 7).
So, D = 2.
Hence, the number is 95721 or 97521."
2,"The face value of 8 in the number 458926 is (R.R.B., 2006)",8,1000,8000,8926,a,"+
=40
QUANTITATIVE APTITUDE"
3,"The sum of the place values of 3 in the number 503535 is (M.B.A., 2005)",6,60,3030,3300,c,"Hence, 4006020 is divisible by 3."
4,The difference between the place values of 7 and 3 in the number 527435 is,4,5,45,6970,d,"Difference between the place values of 7 and 3 in given
numeral = (7000 – 30) = 6970."
5,"The difference between the local value and the face value of 7 in the numeral 32675149 is
(e) None of these",5149,64851,69993,75142,c,"Difference between the local value and the face value of
7 in the given numeral = (70000 – 7) = 69993."
6,"The sum of the greatest and smallest number of five digits is (M.C.A., 2005)","11,110","10,999","109,999","111,110",c,Required sum = (99999 + 10000) = 109999.
7,"If the largest three-digit number is subtracted from the smallest five-digit number, then the remainder is",1,9000,9001,90001,c,Required difference = (10000 – 999) = 9001.
8,"The smallest number of 5 digits beginning with 3 and ending with 5 will be
(R.R.B., 2006)",31005,30015,30005,30025,c,Required number = 30005.
9,"What is the minimum number of four digits formed by using the digits 2, 4, 0, 7 ?
(P.C.S., 2007)",2047,2247,2407,2470,a,Required number = 2047.
10,"All natural numbers and 0 are called the ......... numbers. (R.R.B., 2006)",rational,integer,whole,prime,c,= 168.
11,"Consider the following statements about natural numbers:
(1) There exists a smallest natural number. (2) There exists a largest natural number. (3) Between two natural numbers, there is always a natural number.
Which of the above statements is/are correct?",,,,,b,"Clearly, there exists a smallest natural number, namely 1.
So statement (1) is true.
Natural numbers are counting numbers and the counting
process never ends. So, the largest nature number is not
known. Thus, statement (2) is false.
Thre is no natural number between two consecutive natural
numbers. So, statement (3) is false."
12,Every rational number is also,an integer,a real number,a natural number,a whole number,b,"Clearly, every rational number is also a real number."
13,"The number p is (R.R.B., 2005)",a fraction,a recurring decimal,a rational number 2 is a/an,,d,"Clearly, p is an irrational number."
14,,rational number,natural number,irrational number,integer,c,"Since 2 is a non-terminating and non-repeating decimal,
so it is an irrational number."
15,The number 3 is,a finite decimal,an infinite recurring decimal,equal to 1.732,an infinite non-recurring decimal,d,3 is an infinite non-recurring decimal.
16,"There are just two ways in which 5 may be expressed as the sum of two different positive (non-zero) integers, namely 5 = 4 + 1 = 3 +",,,,,b,"We can write 9 = (1 + 8) ; 9 = (2 + 7) ;
9 = (3 + 6), 9 = (4 + 5).
Thus, it can be done in 4 ways."
2,"In how many ways, 9 can be expressed as the sum of two different positive (non-zero) integers?",3,4,5,6,a,"+
=40
QUANTITATIVE APTITUDE"
17,P and Q are two positive integers such that PQ =,,,,,c,"We may have (64 and 1),
Then, the number is 1000 x + 100 y + 10 z + w = 103 x +
102 y + 10 z + w."
64,Which of the following cannot be the value of P + Q?,16,20,35,65,a,"Clearly, 11 is a prime number which remains unchanged
when its digits are interchanged. And, (11)2 = 121.
Hence, the square of such a number is 121."
18,"If x + y + z = 9 and both y and z are positive integers greater than zero, then the maximum value x can take is (Campus Recruitment, 2006)",3,7,8,Data insufficient,b,"209. Let the missing digit be x. Then, (80 + x) must be divisible
by 4. Hence, x = 4."
19,What is the sum of the squares of the digits from 1 to 9?,105,260,285,385,c,"161 is divisible by 7, 221 is divisible by 13 and 437 is
divisible by 19. 373 is not divisible by any of the above
prime numbers.
\ 373 is prime."
20,"If n is an integer between 20 and 80, then any of the following could be n + 7 except",47,58,84,88,d,"(n + 7) = 88 ⇒ n = (88 – 7) = 81, which is false as
20 < n < 80.
So, the required number is 88."
21,"Which one of the following is the correct sequence in respect of the Roman numerals: C, D, L and M? (Civil Services, 2008)",C > D > L > M,M > L > D > C,M > D > C > L,L > C > D > M,c,"We have, M = 1000 ; D = 500 ; C = 100 and L = 50.
\ M > D > C > L is the correct sequence."
22,"If the numbers from 1 to 24, which are divisible by 2 are arranged in descending order, which number will be at the 8th place from the bottom? (CLAT, 2010)","10
15",12,16,18,c,"These numbers are 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 2.
8th number from the bottom is 16."
23,2 – 2 + 2 – 2 + .......... 101 terms =?,– 2,0,2,None of these,c,"The given series is such that the sum of first hundred
terms is zero, and 101st term is 2. So, the sum of 101 terms
is 2."
24,"98th term of the infinite series 1, 2, 3, 4, 1, 2, 3, 4,
1, 2, ........ is (M.C.A., 2005)",1,2,3,4,b,"Given series is 1, 2, 3, 4, 1, 2, 3, 4, 1, 2, 3, 4, ..........
\ 96th term is 4. So, T97
(16 and 4) and
III. If x < 0, then y = x – 8 which is clearly less than 0.
So, if x is negative, then y must be negative."
25,"If x, y, z be the digits of a number beginning from
the left, the number is",xyz,x + 10y + 100z,10x + y + 100z,100x + 10y + z,d,"Let the hundred's, ten's and one’s digits be x, y and z
respectively.
Then, the given number is 100 x + 10 y + z."
26,"If x, y, z and w be the digits of a number beginning
from the left, the number is",xyzw,wzyx,x + 10y + 100z + 1000w,103x + 102y + 10z + w,d,"Let the thousand’s, hundred’s, ten’s and one’s digits be
x, y, z, w respectively.
–5
2
."
27,"If n and p are both odd numbers, which of the
following is an even number?",n + p,n + p + 1,np + 2,np,a,"We know that the sum of two odd numbers is even.
\ (n is odd, p is odd) ⇒ (n + p) is even."
28,"For the integer n, if n3 is odd, then which of the
following statements are true?
I. n is odd.
III. n2 is even.",I only,II only,"I and II only
II. n2 is odd.",I and III only,c,"n3 is odd ⇒ n is odd and n2 is odd.
\ I and II are true."
